Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20002002","2000-2002","g/capita/day","16.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20012003","2001-2003","g/capita/day","16","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20022004","2002-2004","g/capita/day","15.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20032005","2003-2005","g/capita/day","16","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20042006","2004-2006","g/capita/day","15.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20052007","2005-2007","g/capita/day","15.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20062008","2006-2008","g/capita/day","15.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20072009","2007-2009","g/capita/day","16","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20082010","2008-2010","g/capita/day","16.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20092011","2009-2011","g/capita/day","16","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20102012","2010-2012","g/capita/day","15.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20112013","2011-2013","g/capita/day","15.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20122014","2012-2014","g/capita/day","14.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20132015","2013-2015","g/capita/day","13.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20142016","2014-2016","g/capita/day","12.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","12.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20002002","2000-2002","millions","2.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20012003","2001-2003","millions","2.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20022004","2002-2004","millions","2.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20032005","2003-2005","millions","2.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20042006","2004-2006","millions","1.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20052007","2005-2007","millions","1.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20062008","2006-2008","millions","1.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20072009","2007-2009","millions","1.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20082010","2008-2010","millions","1.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20092011","2009-2011","millions","1.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20102012","2010-2012","millions","1.2","F","FAO estimate",""
