Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1967","1967","tonnes","1004","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1968","1968","tonnes","2530","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1969","1969","tonnes","1806","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1970","1970","tonnes","4290","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1971","1971","tonnes","7100","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1972","1972","tonnes","8716","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1973","1973","tonnes","8768","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1974","1974","tonnes","5000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1975","1975","tonnes","8700","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1976","1976","tonnes","9000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1977","1977","tonnes","9742","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1978","1978","tonnes","9344","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1979","1979","tonnes","5000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1980","1980","tonnes","6200","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1981","1981","tonnes","5200","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1982","1982","tonnes","2900","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1983","1983","tonnes","3500","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1984","1984","tonnes","10000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1985","1985","tonnes","17000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1986","1986","tonnes","13700","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1987","1987","tonnes","16000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1988","1988","tonnes","13500","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1989","1989","tonnes","10100","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1990","1990","tonnes","14900","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1991","1991","tonnes","26807","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1992","1992","tonnes","25000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1993","1993","tonnes","24000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1994","1994","tonnes","25900","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1995","1995","tonnes","28700","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1996","1996","tonnes","24800","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1997","1997","tonnes","30400","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1998","1998","tonnes","38800","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","1999","1999","tonnes","24500","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2000","2000","tonnes","19400","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2001","2001","tonnes","25200","X","International reliable sources"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","15000","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","32028","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","24893","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","15856","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","2599","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","5903","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","4812","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","1470","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","2291.55","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2011","2011","tonnes","12.23","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2012","2012","tonnes","4325.25","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2013","2013","tonnes","5216.11","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2014","2014","tonnes","6909.48","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2015","2015","tonnes","4932.26","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2016","2016","tonnes","11384.7","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","26959.25","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","14146.27","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1961","1961","tonnes","2535","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1962","1962","tonnes","2603","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1963","1963","tonnes","3000","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","195","Senegal","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1964","1964","tonnes","3174","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","195","Senegal","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1965","1965","tonnes","3205","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
