,asap0_id,asap0_name,date,hs_code,hs_name,comment,g1_w_crop,g1_w_range,g1_w_any
22,82,Senegal,2020-11-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
103,82,Senegal,2020-10-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
184,82,Senegal,2020-09-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
265,82,Senegal,2020-08-11,0,No hotspot,"Rainfall in August has been below-average in central and eastern parts of the country, particularly in Matam, Satin-Louis, Louga and Tambacounda. However, thanks to above-average rainfall so far in July, there is no evidence about major impact on vegetation conditions, which remains near average according to remote sensing indices and water satisfaction index that is still close to 100%.",3,1,3
346,82,Senegal,2020-07-11,0,No hotspot,"Planting of the main season millet and sorghum crop is progressing normally in the country thanks to good cumulative rainfall that has benefited cropland planting and pasture regeneration.   Dry spells in the south-west (i.e. Matam) and central Senegal have been registered at the start of the season that have led to below-average vegetation conditions in some parts, according to remote sensing indices (i.e. NDVI). Nevertheless, the second dekad of July has been followed by heavy rains (more than 70 mm) that favoured agricultural activities despite localized floods. Moreover, weather forecast indicates a likelihood of above-average rains in the following weeks ([https://data.chc.ucsb.edu/people/shrad/SubX/Plots/Archive/Latest/Global/Monthly_pr_sfc_Global.png]SubX.",8,4,9
427,82,Senegal,2020-06-11,0,No hotspot,Planting of main coarse grains started in southern Senegal under favourable conditions with a timely onset of rains at the beginning of June and cumulative rainfall amounts resulted in favourable moisture conditions to support planting activities.,3,0,3
508,82,Senegal,2020-05-01,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
589,82,Senegal,2020-04-01,0,No hotspot,  Not a hotspot country according to the latest ASAP analysis.,0,0,0
670,82,Senegal,2020-02-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
751,82,Senegal,2020-01-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
832,82,Senegal,2019-11-11,0,No hotspot,"Harvest of the 2019 season is completed and cereal production is estimated at about 2,768,405, a 27 percent more than the five-year average but a 4 percent below that of the 2018 level (-4%) ([http://www.cilss.int/index.php/2019/11/29/avis-sur-les-perspectives-agricoles-et-alimentaires-2019-2020-au-sahel-et-en-afrique-de-louest/]PREGEC, 25 November 2019.  Despite a delay in the onset and a poor distribution of rain at the beginning of the season, vegetation has recovered due to near to average rains since mid-August and an extension of the season in early October that made up for early season dryness. However, pastoral conditions have been more affected by high temperatures and periods of dry spells and biomass condition remains a concern in northern and central parts of Senegal, particularly in Matam and Podor.",2,2,2
